id,url,lb_type_bien,ville,price,pieces,surface,date_annonce,dependance,annexe,classe_energie,gaz_effet_serre
1262676572,https://www.paruvendu.fr/immobilier/prestige/appartement/en-exclusivite-appartement-f5-de-89m2/1262676572A1KIVHAP000,Appartement,Malakoff (92240),620000,5,89,20/08/2022,NC,NC,D,D
1262679110,https://www.paruvendu.fr/immobilier/vente/appartement/vente-appartement-4-pieces/1262679110A1KIVHAP000,Appartement,Roissy-en-Brie (77680),270000,4,120,20/08/2022,Terrasse,Parking,E,B
1262679266,https://www.paruvendu.fr/immobilier/vente/maison/vente-maison-villa-5-pieces/1262679266A1KIVHMN000,Maison,Aulnay-sous-Bois (93600),382000,5,94,20/08/2022,NC,NC,E,E
1262679284,https://www.paruvendu.fr/immobilier/vente/appartement/vente-appartement-3-pieces/1262679284A1KIVHAP000,Appartement,Pontoise (95300),254500,3,73,20/08/2022,NC,Cave,D,D
1262679199,https://www.paruvendu.fr/immobilier/vente/appartement/vente-appartement-3-pieces/1262679199A1KIVHAP000,Appartement,L'Île-Saint-Denis (93450),305000,3,67,20/08/2022,Balcon,Parking,D,E
1262679337,https://www.paruvendu.fr/immobilier/vente/maison/vente-maison-villa-6-pieces/1262679337A1KIVHMN000,Maison,Ollainville (91340),399000,6,127,20/08/2022,Terrasse,Box,D,B
1262679421,https://www.paruvendu.fr/immobilier/prestige/appartement/vente-appartement-3-pieces/1262679421A1KIVHAP000,Appartement,Paris 19,999000,3,69,20/08/2022,NC,NC,NC,NC
1262681041,https://www.paruvendu.fr/immobilier/vente/appartement/t1/1262681041A1KIVHAP000,Appartement,Soisy-sur-Seine (91450),187000,1,18,20/08/2022,NC,NC,D,D
1262679420,https://www.paruvendu.fr/immobilier/prestige/appartement/vente-appartement-2-pieces/1262679420A1KIVHAP000,Appartement,Paris 19,653000,2,41,20/08/2022,NC,NC,NC,NC
1262679419,https://www.paruvendu.fr/immobilier/vente/appartement/vente-appartement-1-piece/1262679419A1KIVHAP000,Appartement,Paris 19,461000,1,27,20/08/2022,NC,NC,NC,NC
1262669515,https://www.paruvendu.fr/immobilier/vente/maison/charmante-maison-sur-parcelle-env-500m2-br/1262669515A1KIVHMN000,Maison,Saint-Maurice-Montcouronne (91530),365000,6,135,31/08/2022,NC,NC,E,E
1262673016,https://www.paruvendu.fr/immobilier/vente/appartement/studio-loue-en-parfait-etat/1262673016A1KIVHAP000,Appartement,Noisy-le-Grand (93160),132000,1,18,26/08/2022,NC,NC,F,C
1262673053,https://www.paruvendu.fr/immobilier/vente/appartement/cocon-de-2-pieces-en-rez-de-jardin-avec-terrasse/1262673053A1KIVHAP000,Appartement,Paris 14,429000,2,47,26/08/2022,Terrasse,Cave,E,B
1262672929,https://www.paruvendu.fr/immobilier/vente/appartement/calme-et-familial/1262672929A1KIVHAP000,Appartement,Créteil (94000),269900,3,65,26/08/2022,Balcon,Parking,E,C
1262672941,https://www.paruvendu.fr/immobilier/vente/maison/pavillon-traditionnel-t7-140-m2-sur-sous-sol-total-4-chamb/1262672941A1KIVHMN000,Maison,Auvers-Saint-Georges (91580),414000,7,140,26/08/2022,Terrasse,Parking,E,B
1262675941,https://www.paruvendu.fr/immobilier/vente/appartement/appartement-de-4-pieces-principales/1262675941A1KIVHAP000,Appartement,Asnières-sur-Seine (92600),582400,4,82,26/08/2022,Terrasse,Parking,NC,NC
1262676109,https://www.paruvendu.fr/immobilier/vente/appartement/duplex-de-4-pieces-principales/1262676109A1KIVHAP000,Appartement,Colombes (92700),520000,4,94,20/08/2022,Terrasse,Parking,C,C
1262675337,https://www.paruvendu.fr/immobilier/prestige/maison/belle-maison-individuelle-214m2-5-chambres/1262675337A1KIVHMN000,Maison,Chevry-Cossigny (77173),644000,8,214,20/08/2022,Terrasse,Parking,C,C
1262675937,https://www.paruvendu.fr/immobilier/vente/maison/pavillon-de-4-pieces-principales/1262675937A1KIVHMN000,Maison,Courdimanche (95800),315000,4,77,20/08/2022,NC,Parking,E,B
1262672863,https://www.paruvendu.fr/immobilier/vente/maison/idealement-situee-proche-des-ecoles-et-au-calme/1262672863A1KIVHMN000,Maison,Bondoufle (91070),275000,4,96,20/08/2022,Terrasse,Cave,D,B
1262676031,https://www.paruvendu.fr/immobilier/vente/maison/maison-de-3-pieces-principales/1262676031A1KIVHMN000,Maison,Beynes (78650),320000,3,65,20/08/2022,NC,Parking,D,E
1262676037,https://www.paruvendu.fr/immobilier/vente/appartement/appartement-de-4-pieces-principales/1262676037A1KIVHAP000,Appartement,Meulan (78250),173500,4,70,20/08/2022,Balcon,Cave,E,E
1262159751,https://www.paruvendu.fr/immobilier/vente/appartement/vente-appartement-3-pieces/1262159751A1KIVHAP000,Appartement,Bagnolet (93170),349000,3,74,03/09/2022,Balcon,Parking,D,D
