id_emplacement,cd_postal,lb_ville
484,92260,Fontenay-aux-Roses 
485,77400,Thorigny-sur-Marne 
486,77230,Longperrier 
487,91800,Brunoy 
488,94260,Fresnes 
489,77750,Saint-Cyr-sur-Morin 
490,94380,Bonneuil-sur-Marne 
491,77138,Luzancy 
492,77230,Dammartin-en-Goële 
493,77140,Nonville 
494,78630,Orgeval 
495,75009,Paris
496,78280,Guyancourt 
497,91320,Wissous 
498,91530,Le Val-Saint-Germain 
499,77144,Chalifert 
500,91140,Villebon-sur-Yvette 
501,77480,Saint-Sauveur-lès-Bray 
502,93370,Montfermeil 
503,92420,Vaucresson 
504,78470,Saint-Rémy-lès-Chevreuse 
505,91190,Villiers-le-Bâcle 
506,77220,Tournan-en-Brie 
507,77700,Magny-le-Hongre 
508,95650,Boissy-l'Aillerie 
509,95510,Vétheuil 
510,95590,Nointel 
511,95370,Montigny-lès-Cormeilles 
512,77290,Mitry-Mory 
513,77550,Moissy-Cramayel 
514,78250,Hardricourt 
515,77600,Chanteloup-en-Brie 
516,78930,Guerville 
517,78610,Saint-Léger-en-Yvelines 
518,77540,Lumigny-Nesles-Ormeaux 
519,77410,Annet-sur-Marne 
520,95540,Méry-sur-Oise 
521,78530,Buc 
522,78550,Maulette 
523,78270,Bonnières-sur-Seine 
524,93210,La Plaine St Denis 
525,78450,Villepreux 
526,78520,Limay 
527,91470,Forges-les-Bains 
528,91250,Saint-Germain-lès-Corbeil 
529,77178,Saint-Pathus 
530,78580,Les Alluets-le-Roi 
531,92410,Ville-d'Avray 
532,77710,Villebéon 
533,77174,Villeneuve-le-Comte 
534,77510,Rebais 
535,93340,Le Raincy 
536,78840,Freneuse 
537,78340,Les Clayes-sous-Bois 
538,78480,Verneuil-sur-Seine 
539,94420,Le Plessis-Trévise 
540,94150,Rungis 
541,77184,Émerainville 
542,78113,Condé-sur-Vesgre 
543,91620,La Ville-du-Bois 
544,77515,Saint-Augustin 
545,77,jouarre 
546,77130,Dormelles 
547,77670,Saint-Mammès 
548,78550,Gressey 
549,77154,Villeneuve-les-Bordes 
550,77570,Bougligny 
551,78730,Sainte-Mesme 
552,95500,Le Thillay 
553,77450,Condé-Sainte-Libiaire 
554,95470,Survilliers 
555,91310,Linas 
556,77970,Pécy 
557,78980,Le Tertre-Saint-Denis 
558,77390,Chaumes-en-Brie 
559,77140,Darvault 
560,95270,Seugy 
561,77250,Veneux-les-Sablons 
562,91780,Mérobert 
563,77310,Saint-Fargeau-Ponthierry 
564,77320,Montolivet 
565,91700,Villiers-sur-Orge 
566,77580,Guérard 
567,95240,Cormeilles-en-Parisis 
568,95310,Saint-Ouen-l'Aumône 
569,77140,Saint-Pierre-lès-Nemours 
570,93310,Le Pré-Saint-Gervais 
571,77166,Grisy-Suisnes 
572,91650,Breuillet 
573,78360,Montesson 
574,78970,Mézières-sur-Seine 
575,78790,Courgent 
576,77470,Trilport 
577,91860,Épinay-sous-Sénart 
578,91480,Varennes-Jarcy 
579,95140,Garges-lès-Gonesse 
580,77400,Saint-Thibault-des-Vignes 
581,95660,Champagne-sur-Oise 
582,95470,Saint-Witz 
583,78980,Longnes 
584,94220,Charenton-le-Pont 
585,77230,Saint-Mard 
586,78112,Fourqueux 
587,95470,Fosses 
588,91360,Villemoisson-sur-Orge 
589,77840,Crouy-sur-Ourcq 
590,77,MELUN 
591,77122,Monthyon 
592,77510,Verdelot 
593,95190,Goussainville 
594,78440,Porcheville 
595,91430,Igny 
596,78390,Bois-d'Arcy 
597,77450,Montry 
598,77220,Liverdy-en-Brie 
599,78440,Fontenay-Saint-Père 
600,95410,Groslay 
601,91310,Leuville-sur-Orge 
602,95850,Mareil-en-France 
603,77410,Villeroy 
604,77970,Jouy-le-Châtel 
605,77126,Châtenay-sur-Seine 
606,77176,Nandy 
607,78830,Bullion 
608,94460,Valenton 
609,77410,Charny 
610,91710,Vert-le-Petit 
611,77250,Villemer 
612,77185,Lognes 
613,77186,Noisiel 
614,77,juilly 
615,77320,Saint-Rémy-la-Vanne 
616,77830,Pamfou 
617,92,chatillon 
618,92,sceaux 
619,95510,Saint-Cyr-en-Arthies 
620,77320,Meilleray 
621,91230,Montgeron 
622,77760,Chevrainvilliers 
623,91140,Villejust 
